date,hour,energy_kWh
6/26/2012,12,0.897
6/26/2012,13,1.916
6/26/2012,14,4.452
6/26/2012,15,1.02
6/26/2012,16,1.302
6/26/2012,17,1.248
6/26/2012,18,3.446
6/26/2012,19,0.95
6/26/2012,20,1.503
6/26/2012,21,1.873
6/26/2012,22,1.349
6/26/2012,23,1.079
6/27/2012,0,0.513
6/27/2012,1,0.477
6/27/2012,2,0.511
6/27/2012,3,0.492
6/27/2012,4,0.464
6/27/2012,5,0.506
6/27/2012,6,0.548
6/27/2012,7,0.962
6/27/2012,8,0.472
6/27/2012,9,0.742
6/27/2012,10,0.802
6/27/2012,11,0.692
6/27/2012,12,0.671
6/27/2012,13,0.61
6/27/2012,14,0.796
6/27/2012,15,0.694
6/27/2012,16,1.071
6/27/2012,17,1.255
6/27/2012,18,0.937
6/27/2012,19,0.788
6/27/2012,20,0.929
6/27/2012,21,1.115
6/27/2012,22,3.223
6/27/2012,23,2.178
6/28/2012,0,0.673
6/28/2012,1,0.557
6/28/2012,2,0.529
6/28/2012,3,0.537
6/28/2012,4,0.552
6/28/2012,5,0.607
6/28/2012,6,0.582
6/28/2012,7,1.053
6/28/2012,8,0.97
6/28/2012,9,1.098
6/28/2012,10,1.09
6/28/2012,11,0.557
6/28/2012,12,0.532
6/28/2012,13,0.836
6/28/2012,14,0.707
6/28/2012,15,0.88
6/28/2012,16,1.1
6/28/2012,17,1.55
6/28/2012,18,1.239
6/28/2012,19,1.238
6/28/2012,20,1.218
6/28/2012,21,1.183
6/28/2012,22,1.136
6/28/2012,23,1.079
6/29/2012,0,1.017
6/29/2012,1,0.951
6/29/2012,2,0.581
6/29/2012,3,0.511
6/29/2012,4,0.537
6/29/2012,5,0.542
6/29/2012,6,0.928
6/29/2012,7,1.018
6/29/2012,8,0.534
6/29/2012,9,0.53
6/29/2012,10,0.764
6/29/2012,11,0.711
6/29/2012,12,0.618
6/29/2012,13,0.711
6/29/2012,14,0.712
6/29/2012,15,0.874
6/29/2012,16,1.088
6/29/2012,17,0.513
6/29/2012,18,0.758
6/29/2012,19,0.848
6/29/2012,20,1.275
6/29/2012,21,0.766
6/29/2012,22,1.147
6/29/2012,23,0.769
6/30/2012,0,0.549
6/30/2012,1,0.54
6/30/2012,2,0.554
6/30/2012,3,0.784
6/30/2012,4,0.54
6/30/2012,5,0.554
6/30/2012,6,0.492
6/30/2012,7,0.559
6/30/2012,8,0.493
6/30/2012,9,0.89
6/30/2012,10,0.629
6/30/2012,11,0.651
6/30/2012,12,1.082
6/30/2012,13,3.086
6/30/2012,14,1.036
6/30/2012,15,2.35
6/30/2012,16,2.462
6/30/2012,17,1.503
6/30/2012,18,0.979
6/30/2012,19,0.964
6/30/2012,20,0.944
6/30/2012,21,0.918
6/30/2012,22,0.886
6/30/2012,23,0.85
7/1/2012,0,0.809
7/1/2012,1,0.764
7/1/2012,2,0.608
7/1/2012,3,0.536
7/1/2012,4,0.544
7/1/2012,5,0.5
7/1/2012,6,0.807
7/1/2012,7,0.668
7/1/2012,8,0.713
7/1/2012,9,0.546
7/1/2012,10,1.083
7/1/2012,11,0.942
7/1/2012,12,0.808
7/1/2012,13,0.758
7/1/2012,14,0.825
7/1/2012,15,0.846
7/1/2012,16,0.508
7/1/2012,17,0.533
7/1/2012,18,0.521
7/1/2012,19,0.938
7/1/2012,20,0.836
7/1/2012,21,0.858
7/1/2012,22,1.194
7/1/2012,23,1.431
7/2/2012,0,0.736
7/2/2012,1,0.685
7/2/2012,2,0.705
7/2/2012,3,0.671
7/2/2012,4,0.638
7/2/2012,5,0.61
7/2/2012,6,0.587
7/2/2012,7,0.572
7/2/2012,8,0.566
7/2/2012,9,0.571
7/2/2012,10,0.589
7/2/2012,11,0.878
7/2/2012,12,0.774
7/2/2012,13,0.78
7/2/2012,14,0.731
7/2/2012,15,0.955
7/2/2012,16,0.764
7/2/2012,17,0.532
7/2/2012,18,0.798
7/2/2012,19,1.058
7/2/2012,20,1.413
7/2/2012,21,2.658
7/2/2012,22,3.745
7/2/2012,23,1.531
7/3/2012,0,1.071
7/3/2012,1,0.692
7/3/2012,2,0.883
7/3/2012,3,0.903
7/3/2012,4,0.922
7/3/2012,5,0.937
7/3/2012,6,0.95
7/3/2012,7,0.961
7/3/2012,8,0.97
7/3/2012,9,0.976
7/3/2012,10,0.98
7/3/2012,11,0.982
7/3/2012,12,0.981
7/3/2012,13,0.979
7/3/2012,14,0.976
7/3/2012,15,0.97
7/3/2012,16,0.963
7/3/2012,17,0.954
7/3/2012,18,0.944
7/3/2012,19,0.933
7/3/2012,20,0.92
7/3/2012,21,0.906
7/3/2012,22,0.89
7/3/2012,23,0.874
7/4/2012,0,0.857
7/4/2012,1,0.839
7/4/2012,2,0.693
7/4/2012,3,0.676
7/4/2012,4,0.66
7/4/2012,5,0.642
7/4/2012,6,0.624
7/4/2012,7,0.606
7/4/2012,8,0.588
7/4/2012,9,0.57
7/4/2012,10,1.07
7/4/2012,11,1.101
7/4/2012,12,3.364
7/4/2012,13,0.61
